Stock_Title,Return_On_Equity,Current_Ratio,Asster_Turnover,WACC,Dividend_Yield,Earnings_Yield,Revenue_Change,Net_Income_Change,Price_Change
A,0.21214713430282292,2.611353711790393,0.6348601690978352,0.082985764,0.006051118,0.030353161454737817,0.9978095794392523,0.988835726,0.012796677643625465
AA,-0.024231678,1.7476697736351532,0.8437923556519382,0.13044438716711151,0.033233192,-0.02,1.0246050032916392,-0.286713287,0.026693553
AAAU,,,,,0,0,,,0.001644775
AACG,-0.334682965,0.22308730902301369,0.4359035433461236,0.079257358,6.702935211911186,-1.310344865,1.0228051095432156,1.4232834554640825,-0.031746002
AADR,,,,,0,0,,,0.013774137418834709
AAL,-0.021900328,0.7103181987346483,0.7567062241176834,0.064295133,0.031983991,0.014556041,1.6388126631416906,-0.063723031,0.013343805286350152
AAMC,0.12028034264100568,,0.004785502,,6.910028646,-0.801364036,0.048584743,-0.131922838,0
AAME,0.014922744219271379,0,0.5117663404746856,0.057332581,5.430824437826803,0.024489795441728798,0.9413542199104002,0.35622518103246903,-0.132231472
AAN,-0.007592731,2.6196762533396196,1.2103733031004653,0.067897607,0.7576780078902355,-0.015625,1.2188724597725067,-0.048028817,0.026160291642449263
AAOI,-0.359544052,1.3217012310401062,0.5457707409194563,0.10592332720513328,5.061965388,-0.123188408,1.0531893271571384,1.225896384919316,0.031914926670751464
AAON,0.17901461351063108,2.3983183001641857,1.0920072785086183,,0.067172376,0.017056991,1.6627871517650514,1.7082950406753123,0.015100910037017856
AAP,0.18738586429131224,1.1259616389054872,0.9281306907145178,0.056911572,0.029708521708907358,0.13688760061000219,1.014251059898314,0.8145844559720049,-0.035502111
AAPL,1.5607601454639075,0.9880116717592975,1.087077369016657,0.074895852,,,0.9719953946968006,0.9718645732092221,0.041656665
AAT,0.045753379,1.1034166278277704,0.14145409405528533,0.080158289,0.17720065716851116,0.031985784,1.1245782645252616,1.5269860355805756,0.013579804120837036
AAU,-0.169683379,18.404548465032974,0,0.099257381,7.724742191830592,-0.64285714,1,4.439817198812407,0
AAWW,,,,,,,,,
AAXJ,,,,,0,0,,,0.001675051
AAXN,,,,,,,,,
ABB,,,,,,,,,
ABBV,0.6859858583516866,0.9636062021802424,0.4182414178163611,0.049293833719107796,0.000967885,0.043321524,1.0330444685659377,1.0254721885288511,-0.002093925
ABC,,,,,,,,,
ABCB,0.1083818102208044,,0.041854230219540864,0.085621657,0.083995316,0.09443921,1.0582670267608079,0.9194164170511497,0.022678169640661494
ABEO,-1.48335264,6.825941638,0.02202012,0.1023311465370109,11.78619465281105,-1.103792365,0.4713333333333333,0.46736366205142693,0.08041959
ABEQ,,,,,0,0,,,0.003568893
ABEV,0.17641137396346315,0.9328151670925793,0.5777758448223372,0.087388638,0.006844188,0.32800000558580683,1.0940850437105292,1.1410228079867413,0.030888095
ABG,0.3435056659663142,1.8480743177859493,1.9240905577579974,0.074221954,0.068177899,0.19904876097711052,1.568852475680291,1.8732156273478588,0.03304644
ABIO,-0.238187795,37.71996466431096,0,,7.599100770834224,-0.405882342,1,0.5137149363419936,-0.008264455
ABM,0.13961886771487306,1.4046309220789883,1.6410401929586313,0.082303889,,,1.0371224348628083,1.0907118055555556,-0.00423168
ABR,0.11092388277001398,0,0.036332035,0.10437785761373221,0.13332355138994545,0.11330698059429865,1.0476170330144536,0.9601620984379605,-0.012546131
ABT,0.18898217303603554,1.6285105558783652,0.586434348,0.065563512,0.001426301,0.036420561,1.0134184561810795,0.9804836656767076,0.008486953
ABTX,,,,,,,,,
ABUS,-0.507526379,4.599902608,0.199668405,0.1500121793563662,0.7872969503045129,-0.184,3.5510556971241356,0.9109342006898632,0.053811607
AC,-0.054939586,17.733614443034348,0.016414966206383597,0.091706678,0.2916889515692211,-0.062167462,0.7277767157331294,-0.826089894,-0.009785539
ACA,0.11252517853872918,2.330160456894207,0.6713763994492007,0.069946465,0.10216907316563356,0.061510461,1.1013553329404833,3.531609195402299,0.015367558912213086
ACAD,-0.53938059,4.0431186818435085,0.8799327,0.063191084,0.10042951579125126,-0.042797829,1.0683472926499293,1.2865610293679632,0.014093109
ACAM,,,,,,,,,
ACAMU,,,,,,,,,
ACB,-2.595213668,5.694162329871539,0.20412023357642692,0.1959827280239474,1.3594921242530986,-16.7857139,0.902496208,2.476300594701748,0.037486195
ACBI,,,,,,,,,
ACC,,,,,,,,,
ACCO,-0.016294285,1.497962648556876,0.6968905428131821,0.065607715,0.5082471632838064,-0.023026316,0.9616353132869204,-0.129538763,-0.025862085
ACEL,0.4149280474830618,3.3280907624714975,1.1240517450209733,0.082857755,0.36872748229871916,0.079844203,1.3199778959503585,2.3480465160493043,-0.015132394
ACER,,,,,,,,,
ACES,,,,,0,0,,,0.036936922
ACGL,0.11440159943324875,,0.20122813038837034,0.068648817,0.011509970192345953,0.05251111,1.0818824923861308,0.6847642092700973,0.002401561
ACGLO,0.11440159943324875,,0.20122813038837034,0.068648817,0,0,1.0818824923861308,0.6847642092700973,-0.000438634
ACGLP,,,,,,,,,
ACH,,,,,,,,,
ACHC,0.097108251,1.3033507928905095,0.5233461931181072,0.088143487,0.036265965,0.03922325,1.1278974107260906,1.432785165368374,0.018409424867461777
ACHV,-5.10056606,1.265336358,0,0.11574109834908708,9.887921079874598,-0.970873813,1,1.2774493243243243,-0.015810262
ACIA,,,,,,,,,
ACIO,,,,,0,0,,,0.000695184
ACIU,-0.418679101,11.15704206950614,0.021162968,0.082427957,1.4351067444849799,-0.17,1,0.969272289,-0.049773815
ACIW,0.11915734918332165,1.2980326998446745,0.44297430289775835,0.080051699,0.10120255064766027,0.040849673,1.0374311067140036,1.1125744379494644,0.007815823
ACLS,0.2743759516587337,3.5370085277191174,0.9076171938585752,0.12578449782832538,0.10255566792709574,0.042717248,1.388827163103009,1.8558438925494172,0.031713599
ACM,0.025010713,1.0545662491882872,1.2799743229964788,0.081204783,0.023042438,0.00433802,1.093570274582448,0.1781392159324686,0.013737923049293332
ACMR,0.058179819,2.432538981459514,0.3147163091865641,0.092166234,0.4660033969184381,0.033776866,1.496941301477184,1.039886643536298,0.019791622170145518
ACN,0.2674502806015326,1.2983442535908913,1.2510754887691662,0.092898644,0.001585379,0.031175522832194692,1.0408713110733208,0.9991839665420466,-0.00392214
ACNB,0.14590151892328662,,0.041500974,0.07417362,0.8246451200720214,0.092716715,1.1147734524569242,1.2844722282101027,0.025441316993515484
ACOR,-0.704065284,2.163768115942029,0.29971561824593335,0.19305792571631775,17.021516919128906,-4.426772652,0.9186106871411859,0.634088154,-0.012658216
ACP,0.089070246,,0.064895051,0.08966797,,,-0.534622607,-0.506823446,0.007396407
ACRE,0.039844021724589986,0,0.043220734664498876,0.079742887,0.5469661233841198,0.055984558,1.0683557201500946,0.49263976182600067,-0.026951669
ACRS,-0.439771077,10.554745190992797,0.1168596521547864,0.052229226,0.26964487122484077,-1.266666724,4.400532465611596,0.9564518791613933,0.057067062
ACRX,2.189190428165398,1.7840232389251998,0.037294417,0.072514509,16.16299838964904,7.795918215617001,0.6284599006387509,-1.360580074,0.036036001204980295
ACSG,,,,,0,0,,,0.009612242
ACSI,,,,,0,0,,,0
ACST,-0.624369068,8.586924656,0,,11.879991641865503,-1.972318268,1,4.32111213,0
ACT,0.17170758280849022,,0.19177516649153842,0.068661854,0.070647757,0.14953271343951283,0.9774037324191986,1.2880488764096325,0.002066938
ACTG,-0.484222549,4.907578346271601,0.12263318755590895,0.060691664,1.564183975336364,-0.798469372,0.6726293911206515,-0.83825412,0.057644055164203234
ACTT,,,,,,,,,
ACTTU,,,,,,,,,
ACU,0.038400113010060515,4.772523438,1.179984026242487,0.06805751,3.553692826486224,0.020136399,1.0652147684620232,0.22223472007506914,0.013824849148065699
ACV,-0.17327487,,-0.109444772,0.042412962447242554,,,-30.79762913,42.001102535832416,0.00857908
ACWF,,,,,0,0,,,0.00654524
ACWI,,,,,0,0,,,0.00718493
ACWV,,,,,0,0,,,0.000419077
ACWX,,,,,0,0,,,0.003275143
ACY,,,,,,,,,
ADAP,-2.020762598,3.9591634238228863,0.082537791,0.11504063782764043,0.9843404619993201,-1.286254757,4.415026833631485,1.0465937124422797,-0.017964055
ADBE,0.32861121201113935,1.3433523209307963,0.6517680244467577,0.094330307,0.001721087,0.019896078588240204,1.102408269907986,1.1412952060555088,0.009616497
ADC,0.032930885,0.8933032894302658,0.064025309,0.06215185,0.049980043,0.029229546905474593,1.2666810089501743,1.2466938735452635,0.020260700879531468
ADES,-0.063702413,4.423965834868532,0.5684738689805922,0.042698946,6.085088635155891,-0.161073824,1.026851057889804,-0.147630006,0.029661091
ADI,0.093197459,1.3695912896430489,0.25219122130991956,0.0938443,0.003309897,0.033239324,1.0242706126784415,1.2059324861263767,0.019205973743235072
ADIL,-3.885682684,2.669063458684234,0,0.10203972824810575,44.10029572160565,-6.854838657,1,0.6554704379672153,-0.125
ADM,0.17871849777631363,1.4637675168451076,1.6989995650282732,0.07000253,0.005529005,0.10986133849199559,1.1912867013102793,1.6020671834625324,0.0345789
ADMA,-0.433652182,6.886244999674281,0.4421708668903156,0.097779741,0.34605427950468604,-0.07300885,1.9035667795552713,0.9198344877285383,0.018087900188985317
ADME,,,,,0,0,,,0.002686572
ADMP,,,,,,,,,
ADMS,,,,,,,,,
ADNT,0.092010772,1.1546281433921883,1.633595076400679,0.13719326639537738,0.080419641,0.059680967,1.0902202393598186,-1.708333333,0.021221729312705717
